chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;susc1;susexfisc1;susexnfisc1;sus1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;sustr;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;suscje;susexje;susje;sus1jetr;CP;SUS;Tram;Dpj;DPeI;DPCO;dpjio;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tpefetae1;tpefetaeje;tpefetacje1;tpefettr;TpEfet1jetr;tpiae1;tpiaeje;tpiacje1;tpitr;tpi1jetr;tpsvae1;tpsvaeje;tpsvacje1;tpsvtr;tpsv1jetr;tasae1;tasaeje;tasacje1;tastr;Tpaf1jetr;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix;cp.sus;cp.sus.fisc;tbaix.sus.fisc;cp.sus.fisc.penal;tbaix.sus.fisc.penal;mag1je;pib;h1;g1;g7;f2;f3;cm1je;k1je;ipm1je;ipsjud1je;iad1je;tc1je
TRF2_RJ_2012;2012;TRF2;TRF 2ª Região;RJ;0;96754;10026;30209;46137;982;0;931;8469;647043;31299;104687;456684;16139;0;2359;35875;;;;;40005;26;39979;51105;9;51096;;106268;259;84200;21809;145966;1350;113830;30786;;;;;844114;0;1087141;742864621;107794418;;635070203;112;42;12;21;0;0;11;1;1;174;2833;81;107;7;2866;;;;;;;;;;;;;;;;;;;;;131044;13160;44570;53427;4466;571;0;14850;25362;26;25336;145667;705;106534;38428;302073;844114;387430;248646;385071;248075;163;5,74885E+11;16231365;0,00129;45,76723;1,072;17,65717;1054,06748;6110,61963;1697,6135;96,54955;1,36296;0,72219
TRF2_ES_2012;2012;TRF2;TRF 2ª Região;ES;0;20785;2160;5609;9671;1471;0;150;1724;116974;5149;12602;89847;2705;0;308;6363;;;;;5909;7;5902;9928;9;9919;;22304;129;17575;4600;34712;154;31056;3502;;;;;161614;0;210612;143506263;9852282;;133653981;11;6;2;9;1;0;3;0;0;26;519;19;18;1;519;;;;;;;;;;;;;;;;;;;;;23692;2412;6507;10348;1105;118;0;3202;3967;6;3961;25707;134;20193;5380;53366;161614;71767;43018;71459;42900;24;1,16851E+11;3578067;0,00123;40,1072;0,72665;14,50504;1525,625;8115,625;2058,29167;95,18112;1,14644;0,74638
TRF2_TRU_2012;2012;TRF2;TRF 2ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6,91736E+11;19809432;0;0;0;0;;;;;;
TRF2_2º Grau_2012;2012;TRF2;TRF 2ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;96057;0;154937;290841179;34243696;;256597483;0;0;0;0;0;0;0;0;0;27;1014;17;94;24;747;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58880;96057;96057;58880;96057;58880;0;6,91736E+11;19809432;0,00042;14,68195;0,1363;3,77093;;;;0;;
TRF2_total_2012;2012;TRF2;TRF 2ª Região;total;1;117539;12186;35818;55808;2453;0;1081;10193;764017;36448;117289;546531;18844;0;2667;42238;;;;;45914;33;45881;61033;18;61015;;128572;388;101775;26409;180678;1504;144886;34288;;;;;1071630;0;1485949;1177212063;151890397;;1025321667;123;48;14;30;1;0;14;1;1;227;4366;117;219;32;4500;;;;;;;;;;;;;;;;;;;;;154736;15572;51077;63775;5571;689;0;18052;29329;32;29297;171374;839;126727;43808;414319;1071630;525099;350544;522432;349855;187;6,91736E+11;19809432;0,0017;59,42685;1,14592;22,71645;1114,58824;6367,94652;1743,90374;72,46889;1,32505;0,72614
TRF3_MS_2012;2012;TRF3;TRF 3ª Região;MS;0;18534;1290;7056;6155;1071;324;69;2569;66874;5705;12606;39145;165;37;70;9146;;;;;2753;7;2746;6504;6;6498;;4893;26;4867;0;6888;74;6814;0;;;;;80266;0;106446;84246311;4061942;;80184370;15;2;0;2;0;0;1;0;0;18;317;8;5;1;315;;;;;;;;;;;;;;;;;;;;;48498;2830;10640;22928;788;57;124;11131;3531;8;3523;7082;2;7080;0;59111;80266;41121;36183;41014;36002;18;62013200885;2505088;0,00136;33,63008;0,71854;12,57441;1136,94444;5399,38889;3087,77778;176,44444;2,37248;0,42812
TRF3_SP_2012;2012;TRF3;TRF 3ª Região;SP;0;277911;5289;110313;79851;4349;313;972;76824;1537370;19944;197645;1068358;20921;123;2285;228094;;;;;89769;71;89698;210181;61;210120;;157492;104;157388;0;220504;167;220337;0;;;;;1968055;0;2493227;1086076344;105647913;;980428431;216;56;15;1;0;0;22;0;0;266;4006;35;42;3;4016;;;;;;;;;;;;;;;;;;;;;480532;12787;156945;81834;3345;568;25;225028;68769;75;68694;216957;287;216670;0;766258;1968055;899697;684424;897289;683831;251;1,55903E+12;41901218;0,0007;25,91992;0,63483;9,58445;1423,48207;8738,15538;2778,84064;173,67754;1,60194;0,68199
TRF3_TRU_2012;2012;TRF3;TRF 3ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1,62105E+12;44406306;0;0;0;0;;;;;;
TRF3_2º Grau_2012;2012;TRF3;TRF 3ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;279791;0;536596;476298873;48885220;;427413653;0;0;0;0;0;0;0;0;0;37;1816;46;28;13;1243;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;256805;279791;279791;256805;279791;256805;0;1,62105E+12;44406306;0,00029;10,72593;0,08332;2,79915;;;;0;;
TRF3_total_2012;2012;TRF3;TRF 3ª Região;total;1;296445;6579;117369;86006;5420;637;1041;79393;1604244;25649;210251;1107503;21086;160;2355;237240;;;;;92522;78;92444;216685;67;216618;;162385;130;162255;0;227392;241;227151;0;;;;;2440777;0;3522951;1646621529;158595075;;1488026454;231;58;15;3;0;0;23;0;0;321;6139;89;75;17;6142;;;;;;;;;;;;;;;;;;;;;529030;15617;167585;104762;4133;625;149;236159;72300;83;72217;224039;289;223750;0;1082174;2440777;1333274;977412;1330759;976638;269;1,62105E+12;44406306;0,00102;37,0808;0,72287;13,83137;1404,30855;8514,74349;2799,51301;122,60974;1,64128;0,67122
TRF4_RS_2012;2012;TRF4;TRF 4ª Região;RS;0;87197;7277;38453;27769;4023;337;318;9020;369985;10255;82602;225113;9128;1105;972;40810;;;;;50522;31;50491;104745;29;104716;;108995;588;108407;0;110581;674;109907;0;;;;;585311;0;832025;467427287;34626169;;432801118;39;41;6;56;0;0;8;2;0;132;1689;3;2;0;1688;;;;;;;;;;;;;;;;;;;;;90488;7641;50457;20469;1690;294;259;9678;57582;33;57549;107834;515;107319;0;255904;585311;360198;235435;358121;234882;126;2,87587E+11;10770603;0,00163;43,39843;1,22556;15,67229;1480,29365;5371,09524;1573,98413;117,48934;1,01086;0,70695
TRF4_PR_2012;2012;TRF4;TRF 4ª Região;PR;0;66056;14415;23824;19348;1782;693;339;5655;268721;16410;59420;128541;7561;1699;1072;54018;;;;;36481;26;36455;73605;8;73597;;83538;335;83203;0;87577;433;87144;0;;;;;429903;0;615978;381999705;30764962;;351234743;37;26;3;53;0;0;8;1;0;110;1406;1;4;0;1409;;;;;;;;;;;;;;;;;;;;;65883;15871;31607;8937;1126;359;507;7476;37246;21;37225;90677;333;90344;0;193806;429903;301362;184869;298591;184003;107;2,8562E+11;10577755;0,00134;36,1135;1,03992;13,32041;1335,57944;4727,96262;1463,17757;111,11427;1,04657;0,69053
TRF4_SC_2012;2012;TRF4;TRF 4ª Região;SC;0;42492;3220;18480;15700;1167;220;234;3471;161589;6250;39810;93573;4456;902;565;16033;;;;;28939;58;28881;52660;22;52638;;73273;334;72939;0;61061;605;60456;0;;;;;275310;0;420014;269641843;15909218;;253732625;17;19;3;42;0;0;0;0;0;81;1010;2;3;0;1011;;;;;;;;;;;;;;;;;;;;;41593;3201;28282;6393;937;214;280;2286;31579;51;31528;72483;372;72111;0;145655;275310;181737;139262;180270;138768;78;1,91795E+11;6383286;0,00141;42,24186;1,26894;15,83824;1433,84615;4338,65385;1462,51282;112,83482;0,98541;0,66291
TRF4_TRU_2012;2012;TRF4;TRF 4ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,65002E+11;27731644;0;0;0;0;;;;;;
TRF4_2º Grau_2012;2012;TRF4;TRF 4ª Região;2º Grau;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;88442;0;216194;293352576;36460808;;256891768;0;0;0;0;0;0;0;0;0;26;978;2;1;6;667;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127752;88442;88442;127752;88442;127752;0;7,65002E+11;27731644;0,00038;10,57826;0,09376;2,40519;;;;0;;
TRF4_total_2012;2012;TRF4;TRF 4ª Região;total;1;195745;24912;80757;62817;6972;1250;891;18146;800295;32915;181832;447227;21145;3706;2609;110861;;;;;115942;115;115827;231010;59;230951;;265806;1257;264549;0;259219;1712;257507;0;;;;;1360212;0;2082969;1412421411;117761157;;1294660254;93;86;12;151;0;0;16;3;0;349;5083;8;10;6;5091;;;;;;;;;;;;;;;;;;;;;197964;26713;110346;35799;3753;867;1046;19440;126407;105;126302;270994;1220;269774;0;722757;1360212;912985;686958;906670;685045;311;7,65002E+11;27731644;0,00185;50,93176;1,25849;18,35809;1418,85531;4890,88424;1507,90354;92,11511;1,01605;0,69169
TRF5_SE_2012;2012;TRF5;TRF 5ª Região;SE;0;6084;168;2542;2993;149;2;59;171;21859;471;2048;16702;452;10;179;1997;;;;;3986;0;3986;1742;0;1742;;17455;0;17455;0;5976;0;5976;0;;;;;29576;0;57101;55527728;5405062;;50122666;7;1;0;0;3;1;0;0;0;12;193;2;52;1;244;;;;;;;;;;;;;;;;;;;;;11042;339;3294;5012;255;42;10;2090;3890;0;3890;18495;0;18495;0;33427;29576;12874;28415;12685;28363;12;32853180807;2110867;0,00169;26,30565;0,56849;11,55923;1942,25;4281,128;2461,41471;121,05318;1,25481;0,42505
TRF5_AL_2012;2012;TRF5;TRF 5ª Região;AL;0;8207;286;2609;4224;78;84;767;159;37931;867;3546;26265;886;7;155;6205;;;;;6108;0;6108;11472;0;11472;;32908;0;32908;0;16486;0;16486;0;;;;;65889;0;113112;75556443;6240933;;69315511;14;4;0;0;3;2;0;0;0;23;258;4;53;3;310;;;;;;;;;;;;;;;;;;;;;10196;485;3325;2756;266;41;0;3323;6126;0;6126;37223;0;37223;0;53545;65889;39624;50789;39462;50748;23;34650397469;3165472;0,00218;23,86893;0,72659;9,79317;1743,69565;4153,56857;2061,68508;152,96373;1,15332;0,50364
TRF5_PE_2012;2012;TRF5;TRF 5ª Região;PE;0;24820;681;6878;13746;2392;31;87;1005;104685;1608;9662;78589;3437;218;480;10691;;;;;15100;0;15100;45137;0;45137;;46201;0;46201;0;15515;0;15515;0;;;;;165337;0;251458;191010333;27975633;;163034700;39;9;0;1;6;1;0;0;0;56;687;33;125;7;786;;;;;;;;;;;;;;;;;;;;;46989;1095;12051;24470;2595;154;153;6471;22579;0;22579;56468;0;56468;0;126035;165337;86748;101565;86050;101258;56;1,27989E+11;8931028;0,00149;21,38727;0,62703;8,80078;1248,17857;3414,66165;1847,44427;131,62453;1,45671;0,45897
TRF5_RN_2012;2012;TRF5;TRF 5ª Região;RN;0;10260;629;3576;5085;370;106;217;277;36573;1948;5685;23110;1170;157;164;4339;;;;;15024;0;15024;15928;0;15928;;33513;0;33513;0;8707;0;8707;0;;;;;61208;0;120005;93920166;10261944;;83658222;20;4;0;0;3;1;0;0;0;28;349;14;62;0;397;;;;;;;;;;;;;;;;;;;;;19210;984;6783;6776;918;54;48;3647;5609;0;5609;28247;0;28247;0;53066;61208;38098;46290;37777;46188;28;46412208354;3228198;0,00202;29,09368;0,86736;12,29788;1541,89286;3180,47177;1694,88833;119,53872;1,08416;0,4671
TRF5_CE_2012;2012;TRF5;TRF 5ª Região;CE;0;18661;778;6504;10042;840;56;122;319;98245;2179;12780;64194;2596;26;100;16370;;;;;27008;0;27008;32150;0;32150;;78200;0;78200;0;34114;0;34114;0;;;;;164509;0;288378;194392532;22800027;;171592505;42;18;0;0;6;1;0;0;0;67;716;10;113;7;826;;;;;;;;;;;;;;;;;;;;;25612;941;9008;6929;891;49;9;7785;24400;0;24400;82050;0;82050;0;132063;164509;100315;125134;100189;125076;67;96973752889;8606005;0,002;22,58801;0,77853;9,59795;1438,26866;3421,19266;1606,90211;130,34194;1,11151;0,53031
TRF5_PB_2012;2012;TRF5;TRF 5ª Região;PB;0;15170;210;4735;9295;311;22;173;424;60286;1685;7976;43078;1180;57;150;6160;;;;;11846;0;11846;25810;0;25810;;31129;0;31129;0;25908;0;25908;0;;;;;112005;0;170150;98338643;10249983;;88088659;19;6;0;0;3;0;0;0;0;28;383;5;70;1;449;;;;;;;;;;;;;;;;;;;;;19606;479;6613;8792;253;48;49;3372;16954;0;16954;36188;0;36188;0;72748;112005;68927;63956;68720;63859;28;42488349200;3815171;0,00231;25,77568;0,73391;11,7688;1631,42857;4731,9006;1992,64546;124,26297;1,20508;0,57889
TRF5_TRU_2012;2012;TRF5;TRF 5ª Região;TRU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;;0;0;0;0;0;0;0;0;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,81367E+11;29856741;0;0;0;0;;;;;;
